创建时间,推广ID,推广名称,剧ID,剧名,tt账户ID,账户ID,推广系列ID,消耗,用户数,订单数,充值金额,利润,首充数,复充数,千次曝光,展示量,ROI,人均消耗,时速,日期,国家id,首充率,组别,国家,剧名（纯）
,a366f4f8b252453cb667ff338edaff6a,C-xd-IDN-倾国倾城的爱-2.5W-S+xd-7-S+tr,6775074776724224ab393f503aa7ad1d,倾国倾城的爱-IDN,"7571020884027408400,__AD_ID__",,"1858732984423473,1858733033200770,1858733573062898,1858733574657185,1858733688851666,1858779243147441,1858779636855826,1858780611655073,1858780616561729,1858785087706225,1858785090129954,1858789639501105,1858789640300626,1858796394352641,1858796399739057,1858800954414225,1858800956763313,1858805320882322,1858805324165170,1858809715403778,1858809733346401,1858814477715809,1858814480397601,1858818892038370,1858818902453265,1858827495069794,__CAMPAIGN_ID__",652.08,12204,712,997.11,345.03,700,12,2.2,293055.0,1.53,0.05,36.3,2026-03-05,,0.06,C组,印尼,倾国倾城的爱
,d4c1a819886b4c0ca3a2709c6c947c11,C-IDN-hsx-雪下的寂寞-2.5W-3,fb1dec82355b4551a271519052e80b36,雪下的寂寞-IDN,"7532008081048387591,__AD_ID__",,"1858537912854737,1858537938562113,1858538847194561,1858538853943298,1858538854153233,1858538857530625,1858538860661058,1858599463457825,1858599955496962,1858599958286353,1858599963368546,1858599967311922,1858635605512465,__CAMPAIGN_ID__",361.43,3706,352,504.0,142.57,347,5,3.9,93720.0,1.39,0.1,2.76,2026-03-03,,0.09,C组,印尼,雪下的寂寞
,a4401d306bed49ec87a94e97a65b083f,C-xd-IDN-春华秋月的事-2.5W-S+xd-2-S+tr,ad37c77911f749128bda1e7df08b9558,春华秋月的事-IDN,"7561696693796995073,__AD_ID__",,"1858732969867474,1858779161263217,1858865799258242,1858894303974418,1858899834332290,1858902409406050,1858950134816993,1858950140941490,1858953901202546,1858960320191570,1858960322454754,1858964643284082,1858964649283634,1858968803241985,1858968810631617,1858973131044913,1859017337637122,__CAMPAIGN_ID__",340.82,4037,374,528.37,187.55,368,6,4.1,82496.0,1.55,0.08,1.8,2026-03-07,,0.09,C组,印尼,春华秋月的事
,f29abe9ec1c14db88e8ec4e93abc7a81,C-xd-IDN-螳臂当车-2.5W-S+xd-1-S+tr,b4ab13e0951c46faa9fa5581c91e3c50,螳臂当车-IDN,"7530554431298273297,__AD_ID__",,"1858914133429618,1858914185122881,1858917155220578,1858917155619009,1858917159363858,1858917613383778,1858919637677186,1858958923651682,1858958927221762,1858967344031026,1858967346909218,1858971270802482,1858971276792882,1858975825494034,1858975840656450,1858980212727841,1858980213194833,1858984508706850,1858984513979618,1858988887285953,1858988888506386,1858993365490818,1858993369507025,1858997756485777,1858997757027522,1859017358734433,__CAMPAIGN_ID__",305.85,4823,306,420.58,114.73,301,5,2.4,127676.0,1.38,0.06,0.96,2026-03-07,,0.06,C组,印尼,螳臂当车
,b3a99f5a772644eab7fd2e756facc94b,B-IDN-zzz-三足鼎立-2.8W-005苹果（S+tr）,f02607e486774a47b11c7aec3ec89612,三足鼎立-IDN,"7602899236807852048,__AD_ID__",,"1859008302976274,1859008327969153,1859008631286914,1859008634909825,1859009093178465,1859009112130594,1859009135879201,1859012174623058,1859055480228002,1859055512388801,1859055542917201,__CAMPAIGN_ID__",300.9,4805,310,495.92,195.02,307,3,1.9,158009.0,1.65,0.06,3.3,2026-03-08,,0.06,B组,印尼,三足鼎立
,a366f4f8b252453cb667ff338edaff6a,C-xd-IDN-倾国倾城的爱-2.5W-S+xd-7-S+tr,6775074776724224ab393f503aa7ad1d,倾国倾城的爱-IDN,"7571020884027408400,__AD_ID__",,"1858732984423473,1858733033200770,1858779243147441,1858779636479154,1858780616561729,1858785090129954,1858800954414225,1858809733346401,1858812080018610,1858814480397601,1858827495069794,1858828140859522,1858868206482610,1858868216663057,1858893818834210,1858893822735522,1858895929388242,1858897853344898,1858897857543441,1858906212118609,1858906214218897,1858930196017314,__CAMPAIGN_ID__",297.46,5298,297,420.86,123.4,296,1,2.6,113051.0,1.41,0.06,1.56,2026-03-06,,0.06,C组,印尼,倾国倾城的爱
,2eb90ee056a94692bce8115ed5ad3711,IDN-A-wz-卜栗-2.8W解锁-交织-14-S+tr,cdd525db35e14f91bbc5abdfff98b906,交织-印尼,"7602899484552871953,__AD_ID__",,"1858275154261346,1858275449085154,1858468018409521,__CAMPAIGN_ID__",275.69,4694,309,483.48,207.79,306,3,2.2,127992.0,1.75,0.06,10.68,2026-03-02,,0.07,A组,印尼,交织
,1117b8d118e74cc5bda04f980c018335,C-IDN-hsx-真假公主-2.5W-12,2beff1f7f6ad448b9670e3d568368623,真假公主-IDN,"7595500584950808592,__AD_ID__",,"1858358065083650,1858358629082593,1858358630300754,1858358633114113,1858359626883346,1858359901295841,1858359903840321,1858359904718929,1858545015678081,1858545461691457,__CAMPAIGN_ID__",270.09,1996,277,397.07,126.98,274,3,4.4,61434.0,1.47,0.14,2.94,2026-03-02,,0.14,C组,印尼,真假公主
,03ec104bd19849f79956698b5b19e4ad,A-GF-IDN-ph-s+tr-暴力反杀手册-2.8W解锁-03,d71b25a7c1a0479283f3fffa63b5dad2,暴力反杀手册-印尼,"7594704349826547729,__AD_ID__",,"1858905618605490,1858905646959649,1858905669755953,1858907877288049,1858907877289089,1858907878301186,1858907878426722,1858907878644913,1858907881873425,1858907882800401,1858907882848465,1858907882852562,1858907883163937,1858908527622194,1858951869239425,1858951872389185,1858956285189233,1858956287305922,1858981943383266,1858981948466321,1858990751130673,1858990752687265,1858995092367665,1858995096256626,1858999488100754,1858999495001218,__CAMPAIGN_ID__",269.1,2771,245,387.55,118.45,245,0,2.5,108546.0,1.44,0.1,14.28,2026-03-07,,0.09,A组,印尼,暴力反杀手册
,9e3b287ec09d4b1bac1acb1a18d0ae53,B-IDN-xlj-以痛还痛-2.8W-001-s+tr,1a1528c382804d7ba71767069f8fbec4,以痛还痛-IDN,"7561696987385659408,__AD_ID__",,"1858544774759970,1858545114670705,1858545116364002,1858545116650722,1858726260324370,1858726264518769,1858731422498850,1858731424069842,1858736137469217,1858736139289889,1858740728621361,1858740732722193,1858745536291858,1858745537594625,1858750250605618,1858750261137521,__CAMPAIGN_ID__",268.71,4183,273,434.28,165.57,272,1,1.7,153966.0,1.62,0.06,7.2,2026-03-04,,0.07,B组,印尼,以痛还痛
,a839b9abb9c540f795813ca7979d3893,C-IDN-hsx-倾国倾城的爱-2.5W-8,6775074776724224ab393f503aa7ad1d,倾国倾城的爱-IDN,"7577230229996306450,__AD_ID__",,"1858723941573009,1858780003491170,1858810897109169,1858894509325505,1858920012231905,1858920014047250,1858924341318721,1858928630175010,1858928630725713,1858933030849569,1858933032534018,1858937258197106,1858937260305553,1858946041050161,1858946046878722,1858950476394562,1858950476833858,1858954824122481,1858954824615985,1858959047379969,1858959048911873,1858998635240482,__CAMPAIGN_ID__",260.36,7194,263,361.23,100.87,251,12,1.1,246888.0,1.39,0.04,0.36,2026-03-07,,0.03,C组,印尼,倾国倾城的爱
,a366f4f8b252453cb667ff338edaff6a,C-xd-IDN-倾国倾城的爱-2.5W-S+xd-7-S+tr,6775074776724224ab393f503aa7ad1d,倾国倾城的爱-IDN,"7571020884027408400,__AD_ID__",,"1858732984423473,1858733033200770,1858779243147441,1858893818834210,1858895929388242,1858897853344898,1858897857543441,1858906212118609,1858906214218897,1858930196017314,1858946635478049,1858946640829537,1858952248393794,1858952274828482,1858990695789649,1858990696925201,1859017344402609,__CAMPAIGN_ID__",257.12,5880,229,316.79,59.67,224,5,2.7,95850.0,1.23,0.04,2.88,2026-03-07,,0.04,C组,印尼,倾国倾城的爱
